combination,features,n_features,n_samples,selector,model,mean_spearman,std_spearman,min_spearman,max_spearman
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,none,LinearRegression,0.0305,0.0969,-0.0896,0.1504
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,pca_50,KF_SVR,0.0305,0.0616,-0.0307,0.1437
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,spearman_50,Ridge,0.0305,0.1001,-0.0772,0.1718
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,spearman_50,Ridge,0.0305,0.1001,-0.0772,0.1718
AlexNet,AlexNet,12288,339,pca_50,KF_Ridge,0.0304,0.1036,-0.1305,0.1934
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,spearman_50,KF_MLP,0.0302,0.0719,-0.0601,0.1516
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,spearman_50,Ridge,0.0301,0.0996,-0.0772,0.1698
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,spearman_30,KF_GradientBoosting,0.0301,0.0592,-0.0652,0.1093
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,spearman_50,Ridge,0.0301,0.0996,-0.0772,0.1698
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_30,SVR,0.03,0.069,-0.0416,0.1572
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,spearman_30,SVR,0.03,0.069,-0.0416,0.1572
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,pca_50,SVR,0.0299,0.0944,-0.1105,0.1698
ViT,ViT,2304,339,spearman_30,GradientBoosting,0.0298,0.0814,-0.0761,0.1274
LBP,LBP,768,339,none,Ridge,0.0298,0.0473,-0.0333,0.0965
R3D,R3D,512,339,spearman_50,KF_GradientBoosting,0.0298,0.2134,-0.3195,0.3246
Temporal,R3D,512,339,spearman_50,KF_GradientBoosting,0.0298,0.2134,-0.3195,0.3246
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,pca_50,GradientBoosting,0.0296,0.1394,-0.151,0.2502
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,pca_50,LinearRegression,0.0295,0.1457,-0.2129,0.2457
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,spearman_50,KF_Ridge,0.0295,0.0889,-0.0981,0.1661
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,pca_50,SVR,0.0295,0.0755,-0.1072,0.1207
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_50,LinearRegression,0.0294,0.0964,-0.0773,0.1577
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,spearman_50,LinearRegression,0.0294,0.0964,-0.0773,0.1577
LBP,LBP,768,339,pca_50,SVR,0.0293,0.1227,-0.1204,0.1742
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,spearman_50,KF_GradientBoosting,0.029,0.1374,-0.1849,0.2483
Temporal,R3D,512,339,none,KF_MLP,0.0289,0.154,-0.1379,0.2873
R3D,R3D,512,339,none,KF_MLP,0.0289,0.154,-0.1379,0.2873
ResNet50,ResNet50,6144,339,spearman_50,SVR,0.0288,0.1308,-0.1597,0.2158
