combination,features,n_features,n_samples,selector,model,mean_spearman,std_spearman,min_spearman,max_spearman
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,pca_50,LinearRegression,-0.0187,0.171,-0.3047,0.212
RGBHistogram,RGBHistogram,72,339,pca_30,GradientBoosting,-0.0188,0.097,-0.1372,0.0931
HSVHistogram,HSVHistogram,72,339,spearman_50,KF_GradientBoosting,-0.0189,0.1185,-0.1598,0.1803
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_30,SVR,-0.019,0.1085,-0.1617,0.1401
RGBHistogram,RGBHistogram,72,339,spearman_50,Ridge,-0.0192,0.0928,-0.1129,0.1391
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,pca_30,KF_MLP,-0.0192,0.1775,-0.3257,0.229
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,none,MLP,-0.0196,0.09,-0.1147,0.1368
EfficientNetB3,EfficientNetB3,4608,339,none,MLP,-0.0196,0.1031,-0.2072,0.0975
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_50,KF_LinearRegression,-0.0197,0.0989,-0.0983,0.1705
Temporal,R3D,512,339,pca_30,KF_MLP,-0.0199,0.1055,-0.1184,0.1346
LBP,LBP,768,339,pca_30,SVR,-0.0199,0.0908,-0.1834,0.0884
ResNet50,ResNet50,6144,339,pca_50,Ridge,-0.0205,0.0636,-0.1383,0.0522
LBP,LBP,768,339,pca_50,KF_GradientBoosting,-0.0206,0.0283,-0.0638,0.015
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,pca_50,KF_MLP,-0.0208,0.1581,-0.3151,0.1453
RGBHistogram,RGBHistogram,72,339,spearman_50,KF_GradientBoosting,-0.0212,0.1571,-0.2085,0.1718
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,pca_50,KF_MLP,-0.0213,0.1548,-0.2985,0.1584
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,pca_50,KF_Ridge,-0.0214,0.0745,-0.1293,0.0585
RGBHistogram,RGBHistogram,72,339,pca_50,KF_Ridge,-0.0216,0.1129,-0.1953,0.125
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,pca_50,KF_LinearRegression,-0.0218,0.1133,-0.2035,0.116
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,pca_50,KF_LinearRegression,-0.0218,0.0821,-0.1173,0.1252
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,pca_30,GradientBoosting,-0.022,0.1073,-0.154,0.1125
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,pca_50,MLP,-0.0221,0.0785,-0.1255,0.0685
ViT,ViT,2304,339,spearman_30,KF_GradientBoosting,-0.0224,0.1141,-0.1987,0.1409
DenseNet121,DenseNet121,3072,339,pca_30,KF_GradientBoosting,-0.0225,0.1078,-0.1488,0.1243
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,pca_30,KF_GradientBoosting,-0.0225,0.1022,-0.1505,0.1395
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,none,KF_GradientBoosting,-0.0226,0.159,-0.2627,0.2107
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,spearman_30,MLP,-0.0227,0.064,-0.1417,0.0476
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,spearman_30,MLP,-0.0227,0.064,-0.1417,0.0476
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,pca_50,KF_GradientBoosting,-0.0228,0.2243,-0.3075,0.292
ResNet50,ResNet50,6144,339,none,KF_MLP,-0.0229,0.0734,-0.1632,0.0513
AlexNet,AlexNet,12288,339,pca_50,SVR,-0.023,0.0437,-0.1022,0.0263
tcnj_semantic,tcnj_semantic,7,339,pca_50,KF_GradientBoosting,-0.023,0.0503,-0.0786,0.0699
tcnj_semantic,tcnj_semantic,7,339,pca_30,KF_GradientBoosting,-0.023,0.0503,-0.0786,0.0699
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,pca_50,KF_LinearRegression,-0.0231,0.1111,-0.1417,0.1227
tcnj_audio_c,tcnj_audio_c,27,339,pca_30,MLP,-0.0231,0.0935,-0.0948,0.1609
tcnj_audio_c,tcnj_audio_c,27,339,pca_50,MLP,-0.0231,0.0935,-0.0948,0.1609
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,spearman_30,KF_MLP,-0.0232,0.1416,-0.2933,0.0936
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,pca_50,SVR,-0.0232,0.0591,-0.1296,0.0531
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_30,KF_SVR,-0.0233,0.0595,-0.1093,0.0418
Audio,tcnj_audio_c|tcnj_audio_o,36,339,none,KF_SVR,-0.0233,0.0595,-0.1093,0.0418
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_50,KF_SVR,-0.0233,0.0595,-0.1093,0.0418
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,pca_50,KF_Ridge,-0.0235,0.0974,-0.1438,0.1095
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,pca_50,KF_Ridge,-0.0238,0.1137,-0.1944,0.1251
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,pca_30,KF_Ridge,-0.0244,0.0651,-0.1381,0.0546
ViT,ViT,2304,339,spearman_30,KF_MLP,-0.0247,0.1801,-0.3177,0.208
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,pca_30,KF_GradientBoosting,-0.0247,0.1158,-0.2145,0.1463
ViT,ViT,2304,339,pca_30,KF_Ridge,-0.0249,0.1032,-0.1873,0.0806
AlexNet,AlexNet,12288,339,pca_50,KF_SVR,-0.0251,0.0648,-0.0854,0.0947
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,pca_50,SVR,-0.0252,0.0533,-0.1183,0.0282
ViT,ViT,2304,339,spearman_50,SVR,-0.0252,0.1052,-0.186,0.137
VGG,VGG,12288,339,pca_30,SVR,-0.0254,0.0626,-0.1095,0.0565
tcnj_semantic,tcnj_semantic,7,339,spearman_30,KF_SVR,-0.0254,0.1406,-0.2351,0.1361
tcnj_semantic,tcnj_semantic,7,339,spearman_50,KF_SVR,-0.0254,0.1406,-0.2351,0.1361
tcnj_semantic,tcnj_semantic,7,339,none,KF_SVR,-0.0254,0.1406,-0.2351,0.1361
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,pca_50,MLP,-0.0255,0.1152,-0.177,0.1076
ResNet50,ResNet50,6144,339,pca_50,MLP,-0.0256,0.1681,-0.2672,0.2492
R3D,R3D,512,339,spearman_30,SVR,-0.0256,0.0983,-0.1305,0.1033
Temporal,R3D,512,339,spearman_30,SVR,-0.0256,0.0983,-0.1305,0.1033
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,none,GradientBoosting,-0.0256,0.1123,-0.2135,0.1366
HSVHistogram,HSVHistogram,72,339,pca_50,KF_GradientBoosting,-0.0258,0.0868,-0.1832,0.0746
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,pca_50,GradientBoosting,-0.0259,0.0946,-0.1524,0.0853
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,none,KF_GradientBoosting,-0.0261,0.093,-0.1662,0.0767
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,spearman_30,KF_LinearRegression,-0.0262,0.2137,-0.3159,0.3344
tcnj_audio_c,tcnj_audio_c,27,339,pca_30,KF_SVR,-0.0264,0.1234,-0.2279,0.1194
tcnj_audio_c,tcnj_audio_c,27,339,pca_50,KF_SVR,-0.0264,0.1234,-0.2279,0.1194
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,pca_50,KF_SVR,-0.0264,0.1614,-0.2759,0.1625
tcnj_audio_o,tcnj_audio_o,9,339,spearman_30,KF_LinearRegression,-0.0265,0.163,-0.2699,0.2033
tcnj_audio_o,tcnj_audio_o,9,339,none,KF_LinearRegression,-0.0265,0.163,-0.2699,0.2033
tcnj_audio_o,tcnj_audio_o,9,339,spearman_50,KF_LinearRegression,-0.0265,0.163,-0.2699,0.2033
ResNet50,ResNet50,6144,339,pca_50,KF_MLP,-0.0265,0.1049,-0.1855,0.1398
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,pca_50,LinearRegression,-0.0265,0.0921,-0.1503,0.1237
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,spearman_30,MLP,-0.0265,0.0929,-0.131,0.1121
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,pca_50,KF_Ridge,-0.0265,0.057,-0.099,0.044
Audio,tcnj_audio_c|tcnj_audio_o,36,339,pca_50,KF_LinearRegression,-0.0266,0.1176,-0.2167,0.1314
Audio,tcnj_audio_c|tcnj_audio_o,36,339,pca_30,KF_LinearRegression,-0.0266,0.1176,-0.2167,0.1314
Temporal,R3D,512,339,pca_30,KF_LinearRegression,-0.0267,0.0925,-0.1168,0.1362
DenseNet121,DenseNet121,3072,339,pca_50,KF_MLP,-0.0267,0.0935,-0.1343,0.0755
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,pca_30,KF_LinearRegression,-0.0269,0.1022,-0.1951,0.103
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,none,GradientBoosting,-0.027,0.0923,-0.1692,0.1171
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,pca_30,MLP,-0.0271,0.1504,-0.1837,0.1649
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,pca_30,KF_GradientBoosting,-0.0273,0.0681,-0.1289,0.0585
ViT,ViT,2304,339,pca_30,KF_LinearRegression,-0.0276,0.0868,-0.1929,0.048
EfficientNetB3,EfficientNetB3,4608,339,pca_50,MLP,-0.0276,0.14,-0.2953,0.0808
LBP,LBP,768,339,spearman_30,Ridge,-0.0276,0.1187,-0.1719,0.149
tcnj_emotion,tcnj_emotion,19,339,spearman_50,KF_MLP,-0.0278,0.0869,-0.1846,0.0737
tcnj_emotion,tcnj_emotion,19,339,spearman_30,KF_MLP,-0.0278,0.0869,-0.1846,0.0737
tcnj_emotion,tcnj_emotion,19,339,none,KF_MLP,-0.0278,0.0869,-0.1846,0.0737
EfficientNetB3,EfficientNetB3,4608,339,pca_30,SVR,-0.0279,0.1175,-0.2236,0.0891
RGBHistogram,RGBHistogram,72,339,spearman_50,LinearRegression,-0.0279,0.1019,-0.119,0.1484
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,none,SVR,-0.028,0.1034,-0.1712,0.1392
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,spearman_50,SVR,-0.028,0.1034,-0.1712,0.1392
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,spearman_30,SVR,-0.028,0.1034,-0.1712,0.1392
RGBHistogram,RGBHistogram,72,339,pca_30,KF_MLP,-0.0283,0.0624,-0.1037,0.0659
tcnj_semantic,tcnj_semantic,7,339,pca_50,KF_MLP,-0.0286,0.1384,-0.246,0.1826
LBP,LBP,768,339,pca_50,KF_SVR,-0.0286,0.1042,-0.1593,0.1413
tcnj_semantic,tcnj_semantic,7,339,pca_30,KF_MLP,-0.0286,0.1384,-0.246,0.1826
EfficientNetB3,EfficientNetB3,4608,339,spearman_50,GradientBoosting,-0.0286,0.0436,-0.0911,0.0434
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,pca_50,MLP,-0.029,0.0741,-0.1615,0.0344
AlexNet,AlexNet,12288,339,none,LinearRegression,-0.029,0.0991,-0.2071,0.0955
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,spearman_30,MLP,-0.0291,0.0817,-0.1417,0.0476
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,spearman_30,MLP,-0.0291,0.0817,-0.1417,0.0476
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,none,KF_LinearRegression,-0.0291,0.0883,-0.1103,0.1427
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,none,MLP,-0.0293,0.0991,-0.1139,0.1653
tcnj_audio_c,tcnj_audio_c,27,339,pca_30,KF_MLP,-0.0293,0.0657,-0.1163,0.0524
tcnj_audio_c,tcnj_audio_c,27,339,pca_50,KF_MLP,-0.0293,0.0657,-0.1163,0.0524
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,spearman_50,MLP,-0.0296,0.0812,-0.1847,0.0457
VisualAll,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,42128,339,pca_50,KF_SVR,-0.0298,0.1542,-0.3169,0.094
DenseNet121,DenseNet121,3072,339,pca_50,MLP,-0.0299,0.0991,-0.2032,0.1045
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,pca_30,KF_Ridge,-0.03,0.0665,-0.1282,0.0631
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,pca_50,MLP,-0.0304,0.0771,-0.1091,0.1129
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,pca_30,MLP,-0.0304,0.0771,-0.1091,0.1129
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,spearman_30,KF_Ridge,-0.0308,0.0784,-0.1301,0.0792
Audio,tcnj_audio_c|tcnj_audio_o,36,339,none,KF_Ridge,-0.0308,0.1246,-0.1505,0.1532
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,none,KF_Ridge,-0.0308,0.0784,-0.1301,0.0792
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,spearman_50,KF_Ridge,-0.0308,0.0784,-0.1301,0.0792
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_30,KF_Ridge,-0.0308,0.1246,-0.1505,0.1532
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_50,KF_Ridge,-0.0308,0.1246,-0.1505,0.1532
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,pca_30,MLP,-0.0312,0.0846,-0.1422,0.086
RGBHistogram,RGBHistogram,72,339,pca_50,LinearRegression,-0.0313,0.0752,-0.1253,0.082
RGBHistogram,RGBHistogram,72,339,pca_50,Ridge,-0.0313,0.0752,-0.1253,0.082
ResNet50,ResNet50,6144,339,none,MLP,-0.032,0.0697,-0.1312,0.0777
VGG,VGG,12288,339,spearman_30,GradientBoosting,-0.032,0.085,-0.1007,0.1304
DenseNet121,DenseNet121,3072,339,spearman_30,MLP,-0.032,0.1173,-0.1278,0.1898
LBP,LBP,768,339,spearman_30,LinearRegression,-0.0321,0.1277,-0.1937,0.1391
RGBHistogram,RGBHistogram,72,339,spearman_30,KF_Ridge,-0.0323,0.1482,-0.2676,0.122
EfficientNetB3,EfficientNetB3,4608,339,pca_50,LinearRegression,-0.0324,0.1,-0.1709,0.1264
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,none,KF_LinearRegression,-0.0326,0.0509,-0.0851,0.0495
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,pca_30,KF_SVR,-0.0328,0.1477,-0.311,0.0925
DenseNet121,DenseNet121,3072,339,pca_30,KF_Ridge,-0.033,0.1621,-0.3387,0.139
tcnj_semantic,tcnj_semantic,7,339,pca_50,KF_Ridge,-0.0331,0.1188,-0.2439,0.1014
tcnj_semantic,tcnj_semantic,7,339,pca_30,KF_Ridge,-0.0331,0.1188,-0.2439,0.1014
tcnj_semantic,tcnj_semantic,7,339,none,KF_LinearRegression,-0.0336,0.1349,-0.195,0.2082
HandCrafted+DeepVisual+Audio,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,41652,339,pca_30,KF_SVR,-0.0336,0.1207,-0.2514,0.1188
tcnj_semantic,tcnj_semantic,7,339,spearman_50,KF_LinearRegression,-0.0336,0.1349,-0.195,0.2082
tcnj_semantic,tcnj_semantic,7,339,spearman_30,KF_LinearRegression,-0.0336,0.1349,-0.195,0.2082
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,spearman_50,MLP,-0.0338,0.079,-0.1847,0.0457
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_50,MLP,-0.0338,0.079,-0.1847,0.0457
ResNet50,ResNet50,6144,339,spearman_30,MLP,-0.0338,0.1586,-0.2774,0.2234
EfficientNetB3,EfficientNetB3,4608,339,pca_50,KF_Ridge,-0.034,0.1302,-0.2926,0.0603
EfficientNetB3,EfficientNetB3,4608,339,pca_30,KF_SVR,-0.034,0.0776,-0.1795,0.0367
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,pca_50,Ridge,-0.034,0.1099,-0.185,0.0996
DenseNet121,DenseNet121,3072,339,spearman_30,KF_MLP,-0.0341,0.0981,-0.1775,0.0932
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,pca_50,GradientBoosting,-0.0343,0.0623,-0.1398,0.0343
EmotionSemantic,tcnj_emotion|tcnj_semantic,26,339,pca_30,GradientBoosting,-0.0343,0.0623,-0.1398,0.0343
ResNet50,ResNet50,6144,339,spearman_50,KF_LinearRegression,-0.0344,0.1633,-0.3363,0.0992
R3D,R3D,512,339,spearman_50,MLP,-0.0344,0.0883,-0.1154,0.1236
AlexNet,AlexNet,12288,339,none,Ridge,-0.0344,0.11,-0.2262,0.1087
Temporal,R3D,512,339,spearman_50,MLP,-0.0344,0.0883,-0.1154,0.1236
LBP,LBP,768,339,pca_50,KF_MLP,-0.0348,0.0536,-0.1373,0.0165
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,pca_30,KF_Ridge,-0.0348,0.0962,-0.1324,0.121
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,none,Ridge,-0.0355,0.04,-0.0887,0.016
HSVHistogram,HSVHistogram,72,339,spearman_30,SVR,-0.036,0.0795,-0.1809,0.0572
DenseNet121,DenseNet121,3072,339,pca_50,SVR,-0.0361,0.1219,-0.2191,0.1146
EfficientNetB3,EfficientNetB3,4608,339,pca_50,Ridge,-0.0363,0.0842,-0.1261,0.1081
tcnj_emotion,tcnj_emotion,19,339,none,MLP,-0.0365,0.031,-0.0812,0.0149
HandCrafted+Audio,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o,948,339,pca_30,LinearRegression,-0.0368,0.1249,-0.2066,0.1386
tcnj_semantic,tcnj_semantic,7,339,spearman_30,MLP,-0.037,0.0522,-0.1385,0.0042
tcnj_semantic,tcnj_semantic,7,339,spearman_50,MLP,-0.037,0.0522,-0.1385,0.0042
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,pca_50,KF_Ridge,-0.0371,0.145,-0.2861,0.1181
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,pca_50,KF_SVR,-0.0372,0.1129,-0.2186,0.0988
HSVHistogram,HSVHistogram,72,339,spearman_30,KF_Ridge,-0.0372,0.073,-0.1614,0.0466
LBP,LBP,768,339,none,KF_MLP,-0.0373,0.0159,-0.0569,-0.0108
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,none,KF_MLP,-0.0377,0.0591,-0.1275,0.0321
ViT,ViT,2304,339,pca_30,KF_SVR,-0.038,0.086,-0.1742,0.0689
VisualAll+Audio,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o,42164,339,pca_30,KF_SVR,-0.0381,0.1096,-0.2526,0.0348
tcnj_semantic,tcnj_semantic,7,339,spearman_50,SVR,-0.0383,0.1243,-0.236,0.0932
tcnj_semantic,tcnj_semantic,7,339,spearman_30,SVR,-0.0383,0.1243,-0.236,0.0932
tcnj_semantic,tcnj_semantic,7,339,none,SVR,-0.0383,0.1243,-0.236,0.0932
HSVHistogram,HSVHistogram,72,339,pca_50,Ridge,-0.0383,0.1474,-0.2732,0.1322
HSVHistogram,HSVHistogram,72,339,pca_50,LinearRegression,-0.0383,0.1474,-0.2732,0.1322
HSVHistogram,HSVHistogram,72,339,spearman_50,Ridge,-0.0384,0.1446,-0.3115,0.105
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,pca_50,LinearRegression,-0.0385,0.1125,-0.1831,0.0919
ViT,ViT,2304,339,pca_50,LinearRegression,-0.0385,0.1188,-0.202,0.1663
tcnj_semantic,tcnj_semantic,7,339,pca_50,SVR,-0.0385,0.1024,-0.1951,0.0559
tcnj_semantic,tcnj_semantic,7,339,pca_30,SVR,-0.0385,0.1024,-0.1951,0.0559
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,spearman_30,KF_LinearRegression,-0.0387,0.1293,-0.2554,0.1215
VGG,VGG,12288,339,none,MLP,-0.0392,0.1755,-0.2553,0.2205
HSVHistogram,HSVHistogram,72,339,pca_50,KF_MLP,-0.0392,0.1103,-0.1494,0.1251
VisualAll+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,42154,339,pca_50,MLP,-0.0394,0.114,-0.2449,0.0981
EfficientNetB3,EfficientNetB3,4608,339,none,GradientBoosting,-0.0394,0.1493,-0.2172,0.2053
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,spearman_30,MLP,-0.0395,0.0746,-0.1417,0.0476
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_30,MLP,-0.0395,0.0746,-0.1417,0.0476
HSVHistogram,HSVHistogram,72,339,spearman_30,MLP,-0.0396,0.14,-0.2271,0.1913
LBP,LBP,768,339,pca_30,MLP,-0.0397,0.0838,-0.1573,0.0924
R3D,R3D,512,339,pca_30,KF_LinearRegression,-0.04,0.0778,-0.1282,0.0779
ResNet50,ResNet50,6144,339,pca_30,KF_MLP,-0.0404,0.0322,-0.0751,0.01
DeepVisual,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,40704,339,spearman_30,KF_MLP,-0.0405,0.1343,-0.2719,0.1152
EfficientNetB3,EfficientNetB3,4608,339,pca_30,GradientBoosting,-0.0406,0.0974,-0.1633,0.0859
